"","X","LRR","var.LRR","col","scale","Study","Sys1","pr.st"
"1014",0.833333333,-1.335036145,0.082045678,"darkgreen",1.00299318645173,65,"T",0.63206083671303
"1015",0.333333333,-0.569384717,0.041287441,"darkgreen",1.00636919934414,65,"T",-1.69955291601098
"1016",0.666666667,-0.607907826,0.096202964,"darkgreen",1.00248991971701,65,"T",-0.14514374441949
"1017",0.916666667,-0.980494204,0.091985277,"darkgreen",1.00262365005869,65,"T",1.02066313194252
"1018",0.666666667,-0.457524983,0.185795,"darkgreen",1.00108351824763,65,"T",-0.14514374441949
"1019",0.333333333,-0.277177287,0.172997166,"darkgreen",1.00119523693957,65,"T",-1.69955291601098
"1020",0.833333333,-0.878743075,0.208599298,"darkgreen",1.0009184238929,65,"T",0.63206083671303
"1021",0.916666667,-1.434852144,0.161156785,"darkgreen",1.00131439967781,65,"T",1.02066313194252
"1026",0.9375,-0.056037646,0.151757504,"darkgreen",1.00142223430571,65,"T",1.11781370341828
"1027",0.96875,-0.344923315,0.173463579,"darkgreen",1.00119087594309,65,"T",1.26353956296353
"1028",0.75,-0.007856673,0.161128931,"darkgreen",1.00131470065101,65,"T",0.24345854614677
